,unitid,year,fips,level_of_study,tuition_type,tuition_fees_ft,tuition_ft,fees_ft,credit_hour_charge_pt,tuition_published,fees_published,tuition_fees_published,tuition_pub_pct_increase,fees_pub_pct_increase,ingested_at_utc
209,102270,2021,1,1,4,11392.0,9548.0,1844.0,398.0,9548.0,1844.0,11392.0,,,2026-02-13T03:05:35
210,102298,2021,1,1,2,13886.0,12130.0,1756.0,650.0,12130.0,1756.0,13886.0,,,2026-02-13T03:05:35
211,102298,2021,1,1,3,13886.0,12130.0,1756.0,650.0,12130.0,1756.0,13886.0,,,2026-02-13T03:05:35
212,102298,2021,1,1,4,13886.0,12130.0,1756.0,650.0,12130.0,1756.0,13886.0,,,2026-02-13T03:05:35
213,102298,2021,1,2,2,16650.0,16000.0,650.0,650.0,,,,,,2026-02-13T03:05:35
214,102298,2021,1,2,3,16650.0,16000.0,650.0,650.0,,,,,,2026-02-13T03:05:35
215,102298,2021,1,2,4,16650.0,16000.0,650.0,650.0,,,,,,2026-02-13T03:05:35
216,102313,2021,1,1,2,4770.0,3690.0,1080.0,123.0,3690.0,1080.0,4770.0,,,2026-02-13T03:05:35
217,102313,2021,1,1,3,4770.0,3690.0,1080.0,123.0,3690.0,1080.0,4770.0,,,2026-02-13T03:05:35
218,102313,2021,1,1,4,8460.0,7380.0,1080.0,246.0,7380.0,1080.0,8460.0,,,2026-02-13T03:05:35
219,102368,2021,1,1,2,9312.0,9312.0,0.0,388.0,9312.0,0.0,9312.0,,,2026-02-13T03:05:35
220,102368,2021,1,1,3,9312.0,9312.0,0.0,388.0,9312.0,0.0,9312.0,,,2026-02-13T03:05:35
221,102368,2021,1,1,4,18624.0,18624.0,0.0,776.0,18624.0,0.0,18624.0,,,2026-02-13T03:05:35
222,102368,2021,1,2,2,8550.0,8550.0,0.0,475.0,,,,,,2026-02-13T03:05:35
223,102368,2021,1,2,3,8550.0,8550.0,0.0,475.0,,,,,,2026-02-13T03:05:35
224,102368,2021,1,2,4,17100.0,17100.0,0.0,950.0,,,,,,2026-02-13T03:05:35
225,102377,2021,1,1,2,22614.0,19594.0,3020.0,833.0,19594.0,3020.0,22614.0,,,2026-02-13T03:05:35
226,102377,2021,1,1,3,22614.0,19594.0,3020.0,833.0,19594.0,3020.0,22614.0,,,2026-02-13T03:05:35
